CreditScore,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Germany,Spain
0.5379999999999999,0.3243243243243243,2,0.0,1,1,1,0.5065002363099212,1,0,0
0.5159999999999999,0.3108108108108108,1,0.334031478677259,1,0,1,0.5625007097802491,0,0,1
0.30399999999999994,0.3243243243243243,8,0.6363571759354565,3,1,0,0.5694496272646868,1,0,0
0.6980000000000001,0.2837837837837838,1,0.0,2,0,0,0.46886749989906745,0,0,0
0.9999999999999999,0.3378378378378379,2,0.5002462155052676,1,1,1,0.39511273961868537,0,0,1
0.59,0.35135135135135137,8,0.45339436422174445,2,1,0,0.7486776575085545,1,0,1
0.9440000000000001,0.4324324324324324,7,0.0,2,1,1,0.04980908849907855,0,0,0
0.051999999999999935,0.14864864864864863,4,0.4585397202505608,4,1,0,0.5965416454524711,1,1,0
0.30199999999999994,0.35135135135135137,4,0.5661703921301275,2,0,1,0.3743829039189926,0,0,0
0.668,0.12162162162162166,2,0.5364882610306042,1,1,1,0.35829987131152535,0,0,0
0.356,0.1756756756756757,6,0.4066062041365082,2,0,0,0.40060097312560605,0,0,0
0.29399999999999993,0.08108108108108109,3,0.0,2,1,0,0.3816345942715994,0,0,1
0.252,0.21621621621621623,10,0.0,2,1,0,0.13084625667024588,0,0,0
0.398,0.09459459459459457,5,0.0,2,0,0,0.9543004578464075,0,0,0
0.57,0.22972972972972977,7,0.0,2,1,1,0.32941297833998323,0,0,1
0.5319999999999999,0.36486486486486486,3,0.5704683124530762,2,0,1,0.3212863884634933,0,1,0
0.606,0.5405405405405406,1,0.5285129113577549,1,1,0,0.02496925619682558,1,1,0
0.398,0.08108108108108109,9,0.0,2,1,1,0.07153954550350523,0,0,1
0.47399999999999987,0.36486486486486486,6,0.0,1,0,0,0.7933436595624273,0,0,1
0.7519999999999999,0.08108108108108109,6,0.0,2,1,1,0.2732428079812169,0,0,0
0.7639999999999999,0.3108108108108108,8,0.0,2,1,1,0.8543853112934832,0,0,0
0.572,0.1891891891891892,8,0.0,2,1,0,0.6926394124725512,0,0,1
0.31999999999999995,0.27027027027027034,4,0.0,1,1,0,0.5943736576398295,1,0,1
0.638,0.37837837837837845,3,0.0,2,0,1,0.04192933955641974,0,0,0
0.9919999999999999,0.27027027027027034,5,0.0,1,1,1,0.9380830485165507,0,0,0
0.45399999999999985,0.09459459459459457,3,0.0,2,0,1,0.6223634384051574,0,0,0
0.8119999999999999,0.24324324324324326,2,0.5453036330408096,1,1,1,0.8501617998796414,0,1,0
0.44200000000000006,0.35135135135135137,9,0.0,2,0,0,0.19174287559482087,0,0,0
0.44800000000000006,0.3378378378378379,3,0.5633738782148561,1,1,1,0.5006896687663822,0,1,0
0.122,0.14864864864864863,0,0.23793393564693938,2,1,1,0.2670351637267298,0,0,0
0.4819999999999999,0.2837837837837838,3,0.0,3,1,0,0.702214479356989,1,0,1
0.366,0.24324324324324326,7,0.3400253066892618,1,0,1,0.783573581336264,0,0,0
0.406,0.3108108108108108,9,0.43887356814872525,2,0,0,0.40919432950242945,0,1,0
0.33999999999999997,0.3243243243243243,6,0.0,2,1,1,0.1716173849459349,0,0,1
0.7439999999999999,0.14864864864864863,9,0.0,2,1,1,0.7100373958511613,0,0,1
0.25,0.36486486486486486,0,0.5351337668612783,1,1,0,0.1386607683656984,1,0,0
0.2799999999999999,0.1756756756756757,3,0.5789610833625718,1,0,1,0.5701260134473779,0,0,1
0.908,0.2027027027027027,7,0.3050983767951363,1,0,1,0.4920148158591148,0,0,1
0.9999999999999999,0.24324324324324326,7,0.0,1,1,1,0.20364742249587403,0,0,0
0.46399999999999986,0.3108108108108108,6,0.28039065582364536,2,0,1,0.8903451925877081,0,1,0
0.244,0.2972972972972973,4,0.0,1,1,0,0.35043783248045474,0,0,1
0.22999999999999998,0.445945945945946,8,0.48833500486193426,1,0,0,0.9064724504455819,1,0,0
0.41200000000000003,0.5810810810810811,2,0.46799618920973063,1,1,1,0.47050443450688173,0,0,0
0.9679999999999999,0.4189189189189189,2,0.5236969320890407,1,0,0,0.9718503279447401,1,0,0
0.62,0.5810810810810811,5,0.6214918176539327,1,1,1,0.791610570054973,0,0,1
0.852,0.1891891891891892,4,0.4361178277602672,2,1,1,0.6324150273598712,0,1,0
0.9580000000000001,0.12162162162162166,9,0.4465784095845449,1,1,1,0.598349327548564,1,1,0
0.574,0.2837837837837838,9,0.5494015518412276,1,1,1,0.5879163208233742,1,1,0
0.4,0.27027027027027034,2,0.4120851617483418,1,0,1,0.4541165778601293,0,1,0
0.852,0.25675675675675674,2,0.4135911118334939,2,1,0,0.9705163663193501,0,1,0
0.6960000000000001,0.35135135135135137,10,0.4637873887361997,2,1,0,0.9903278777017739,0,1,0
0.46999999999999986,0.24324324324324326,5,0.5821127215436356,2,0,0,0.4318360567966281,0,1,0
0.876,0.2027027027027027,5,0.0,2,0,0,0.584691429571714,0,0,0
0.61,0.3108108108108108,8,0.5004500831393337,1,0,0,0.8201396087095928,1,1,0
0.5019999999999999,0.3243243243243243,1,0.3925726178306101,1,1,0,0.19965444270406188,1,1,0
0.5379999999999999,0.3378378378378379,1,0.49905489515683443,1,1,1,0.5668427388617532,0,0,0
0.612,0.36486486486486486,5,0.5096268369360644,1,1,0,0.4352530077047491,0,0,0
0.7499999999999999,0.013513513513513542,0,0.3024662324053563,1,0,0,0.22766538555188084,0,1,0
0.32199999999999995,0.6486486486486487,4,0.0,1,1,0,0.0076865886577941675,1,0,1
0.5279999999999999,0.445945945945946,4,0.16216113881137956,1,1,1,0.2334763533239303,0,0,0
0.7839999999999999,0.22972972972972977,5,0.5454684808481405,1,0,0,0.42225558682729913,0,1,0
0.674,0.12162162162162166,9,0.6071344743995462,2,0,0,0.6323017626914087,0,1,0
0.41000000000000003,0.2027027027027027,1,0.2235357391520996,2,0,0,0.8939677108645182,0,0,1
0.668,0.5135135135135136,8,0.31370171052318496,1,1,1,0.4967420648819444,0,0,1
0.5059999999999999,0.10810810810810811,4,0.4351024354151122,1,1,1,0.4639348836218039,0,1,0
0.8019999999999999,0.24324324324324326,6,0.6768941923790652,2,1,1,0.13833743375780402,0,1,0
0.46199999999999986,0.21621621621621623,1,0.4050769776685028,1,1,0,0.5519393297603267,0,1,0
0.7699999999999999,0.3378378378378379,10,0.4909563480535065,2,1,1,0.9833945191006807,0,1,0
0.622,0.22972972972972977,5,0.6007440311721783,2,0,1,0.5680752425597395,0,1,0
0.65,0.040540540540540515,8,0.39208453121345005,1,1,0,0.09053334001047898,0,0,0
0.7759999999999999,0.5405405405405406,2,0.5330667921784499,4,1,0,0.1414166918602176,1,1,0
0.926,0.14864864864864863,6,0.0,1,1,0,0.16933268049392802,0,0,0
